conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,skill/competence,transversal,onderhandelen over een compromis,,"Communiceren met anderen met de bedoeling tot een gemeenschappelijk akkoord te komen of een punt van verschil op te lossen, zonder zijn eigen intenties of doelen of die van de anderen uit het oog te verliezen.",http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.1.2,sociale interactie | bemiddelen en oplossen van geschillen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,skill/competence,transversal,druk aankunnen,stress aankunnen,"Uitdagingen, verstoringen en verandering aankunnen en herstellen van tegenslagen en tegenspoed.",http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5 | http://data.europa.eu/esco/skill/A1.4.0,standpunten | druk aankunnen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800,skill/competence,transversal,strategieën ontwikkelen om problemen op te lossen,manieren ontwikkelen om problemen op te lossen,"Specifieke doelstellingen ontwikkelen en plannen ontwikkelen om prioriteiten te stellen, te organiseren en werk te verrichten.",http://data.europa.eu/esco/skill/S4.1.0 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,ontwikkelen van doelen en strategieën | denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,skill/competence,transversal,efficiënt werken,,"Het bereiken van doelstellingen met een minimale hoeveelheid aan tijd, moeite of kosten.",http://data.europa.eu/esco/skill/A1.15.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,efficiënt werken | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,informatie evalueren,informatie beoordelen,Oordelen vellen en verdedigen op basis van interne bewijzen en externe criteria.,http://data.europa.eu/esco/skill/S2.7.0 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,analyseren en evalueren van informatie en gegevens | denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/80967a8e-0477-4c5e-8550-4af6e5157626,skill/competence,transversal,met vormen en plaatsen kunnen werken,,"Ruimtelijke informatie manipuleren, organiseren en interpreteren.",http://data.europa.eu/esco/skill/S2.7.0 | http://data.europa.eu/esco/skill/b99e9027-8263-4630-a8f2-d7f400b4149e,analyseren en evalueren van informatie en gegevens | rekenvaardigheid/wiskunde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/81633a44-f1db-4a01-a940-804c6905e330,skill/competence,transversal,tekstverwerkingssoftware gebruiken,,"Gebruik van computer softwareapplicaties voor het samenstellen, bewerken, formatteren en afdrukken van elk type geschreven materiaal.",http://data.europa.eu/esco/skill/S5.6.2 | http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,"gebruikmaken van software voor tekstverwerking, publicatie en presentatie | digitale inhoud ontwikkelen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/82de2df7-0d6c-42b1-94ac-b3e9a029e917,skill/competence,transversal,backup- en herstelprogramma's gebruiken,,"Hulpmiddelen gebruiken die gebruikers in staat stellen computersoftware, -configuraties en -gegevens te kopiëren en te archiveren en ze te recupereren in geval van verlies.",http://data.europa.eu/esco/skill/S5.2.2 | http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,beschermen van ict-apparaten | ICT-toestellen beschermen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8359bd04-d2cb-4757-af1f-39a921df9efe,skill/competence,transversal,computervirussen of malware van een computer verwijderen,,Acties uitvoeren om computervirussen of andere soorten malware uit een computer te verwijderen.,http://data.europa.eu/esco/skill/S5.2.2 | http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,beschermen van ict-apparaten | ICT-toestellen beschermen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,gedetailleerd werken,nauwkeurig werken | aandacht hebben voor detail,"Met zorg uitvoeren van een taak op alle betrokken gebieden, hoe klein ook.",http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5 | http://data.europa.eu/esco/skill/A1.2.0,standpunten | gedetailleerd werken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/943d07ec-fb75-4bb5-bc07-20451a2b66e4,skill/competence,transversal,kansen herkennen,kansen identificeren,Verder kijken dan het hier en nu en visualiseren wat de toekomst voor mensen met initiatief kan opleveren.,http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5 | http://data.europa.eu/esco/skill/S4.1.1,denken | in kaart brengen van mogelijkheden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/95a41cf5-4037-4c96-91a8-c34b41637224,skill/competence,transversal,collega's ondersteunen,,Minder ervaren of minder goed geïnformeerde mensen op het werk begeleiden of helpen.,http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.8.6,sociale interactie | assisteren en ondersteunen van collega's
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97c1895a-a890-47da-abfc-79dc272add2e,skill/competence,transversal,online afspraken inzake nettiquette toepassen,online afspraken inzake internet-etiquette toepassen,Gedragsregels en knowhow toepassen bij het gebruik van digitale technologieën en interactie in digitale omgevingen. De communicatiestrategieën aanpassen aan het specifieke publiek en zich bewust zijn van de culturele en generatie diversiteit in digitale omgevingen.,http://data.europa.eu/esco/skill/A2.2.0 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,goede manieren tonen | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,skill/competence,transversal,kwalitatieve informatie verwerken,,"Samenstellen, coderen, categoriseren, inpassen, controleren of verifiëren van kwalitatieve informatie.",http://data.europa.eu/esco/skill/S2.7.0 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,analyseren en evalueren van informatie en gegevens | denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,bereidheid tonen om te leren,bereid zijn om te leren,Een positieve houding aan de dag leggen ten aanzien van nieuwe en uitdagende eisen die alleen via levenslang leren kunnen worden vervuld.,http://data.europa.eu/esco/skill/A1.8.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,bereidheid tonen om te leren | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9d75743b-317a-4bc4-b93f-c72e3ceba377,skill/competence,transversal,rekening houden met anderen,,Op een begripvolle en ondersteunende manier handelen met oog voor de behoeften en gevoelens van anderen.,http://data.europa.eu/esco/skill/A2.1.0 | http://data.europa.eu/esco/skill/25a26ff6-af18-40b0-b2e2-cb58471015eb,rekening houden met anderen | waarden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,skill/competence,transversal,communiceren met behulp van digitale technologieën,contacten onderhouden met digitale technologieën | communiceren via digitale technologie,Communiceren door middel van een verscheidenheid aan digitale technologieën en het begrijpen van geschikte digitale communicatiemiddelen voor een bepaalde context.,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a311ab20-75df-4aff-8016-3142c5659d30,skill/competence,transversal,constructieve kritiek aanvaarden,,Op een positieve manier reageren op geldige en goed gemotiveerde meningen over het werk.,http://data.europa.eu/esco/skill/S1.8.4 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,feedback accepteren | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a44c0ed6-68b1-457a-9c6d-ea8487bdfeb2,skill/competence,transversal,leerstrategieën toepassen,leerstrategieën gebruiken,"Toepassen van verschillende perceptiekanalen, leerstijlen, strategieën en methoden om kennis, knowhow, vaardigheden en competenties te verwerven.",http://data.europa.eu/esco/skill/S2.0.0 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,informatievaardigheden | denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a4b2a278-2123-4450-8b43-be01c4f341da,skill/competence,transversal,online privacy en identiteit beschermen,online privacy en identiteit veiligstellen,"Methoden en procedures toepassen om privégegevens in digitale ruimten te beveiligen door het delen van persoonlijke gegevens waar mogelijk te beperken, door het gebruik van wachtwoorden en instellingen op sociale netwerken, apps voor mobiele apparaten, cloud-opslag en andere plaatsen, terwijl de privacy van anderen wordt gewaarborgd; zichzelf beschermen tegen online fraude en bedreigingen en cyberpesten.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/S4.2.1,ICT-veiligheid | begeleiden van operationele werkzaamheden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a5826fe3-8df6-4fa8-adad-b7116864588f,skill/competence,transversal,mathematische informatie communiceren,mathematische informatie doorgeven,"Gebruik maken van wiskundige symbolen, taal en hulpmiddelen om informatie, ideeën en processen te presenteren.",http://data.europa.eu/esco/skill/S1.4.2 | http://data.europa.eu/esco/skill/b99e9027-8263-4630-a8f2-d7f400b4149e,presenteren van onderzoeks- en technische informatie | rekenvaardigheid/wiskunde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,knowledge,transversal,copyright en licenties voor digitale inhoud,copyright en licenties in verband met digitale inhoud | copyright en licenties voor digitale content | copyright en licenties in verband met digitale content,"Begrip van auteursrechten en licenties en de wijze waarop ze van toepassing zijn op gegevens, informatie en digitale inhoud.",http://data.europa.eu/esco/isced-f/0211 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,audiovisuele technieken en mediaproductie | creëren van digitale inhoud
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a992f345-7c06-4982-8fc9-5fab55e316af,skill/competence,transversal,ecologisch duurzame werkpraktijken toepassen,ecologisch duurzame werkmethoden toepassen,"Principes, beleid en regelgeving toepassen die gericht zijn op milieuduurzaamheid op de werkplek.",http://data.europa.eu/esco/skill/6e1ac650-52a8-40b8-b1fc-fc5e582882f3 | http://data.europa.eu/esco/skill/S3.3.2,gezondheid en veiligheid | naleven van wetten en normen op het gebied van milieubescherming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07,skill/competence,transversal,werkgerelateerde metingen uitvoeren,werkgerelateerde metingen opnemen,"Gebruiken van geschikte eenheden, gereedschappen en apparatuur om berekeningen uit te voeren voor lengte, oppervlakte, volume, gewicht, tijd, geometrische vormen en schetsen.",http://data.europa.eu/esco/skill/b99e9027-8263-4630-a8f2-d7f400b4149e | http://data.europa.eu/esco/skill/S2.5.0,rekenvaardigheid/wiskunde | meten van fysieke eigenschappen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/abf982c1-6b59-4572-a38c-97d3a6869af4,skill/competence,transversal,gebruikmaken van persoonlijke robots voor praktische ondersteuning,,"Gebruik maken van semi-autonome of autonome machines die automatisch complexe handelingen uitvoeren terwijl ze geleid worden door digitale of elektronische software, zoals auto's zonder bestuurder, drones en andere machines.",http://data.europa.eu/esco/skill/S8.0.0 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,werken met machines en gespecialiseerde apparatuur | probleemoplossing met ICT-instrumenten en hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/acf0a78c-f4e3-4bd9-a5cc-9cf4791b3b95,skill/competence,transversal,virtueel particulier netwerk implementeren,virtual private network implementeren | virtueel gesloten netwerk implementeren | virtueel particulier netwerk opzetten | virtual private network opzetten | virtueel privénetwerk opzetten,"Creëren van een versleutelde verbinding tussen privé-netwerken, zoals verschillende lokale netwerken van een bedrijf, via het internet om ervoor te zorgen dat alleen geautoriseerde gebruikers er toegang toe hebben en dat de gegevens niet kunnen worden onderschept.",http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e | http://data.europa.eu/esco/skill/S5.2.2,ICT-toestellen beschermen | beschermen van ict-apparaten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/af6db8f7-aeb8-40e7-97e1-22110ce6c7c6,skill/competence,transversal,Bing gebruiken,,"Identificeren van digitale informatie via Bing-zoekmachines, waarbij de relevantie en het doel van de informatie worden beoordeeld.",http://data.europa.eu/esco/skill/S5.5.1 | http://data.europa.eu/esco/skill/698be2d3-8768-422d-a2d3-1cb701816089,doorzoeken en filteren van digitale gegevens | online informatie opzoeken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b2f925ed-3ebd-4f78-b98e-d5d4678e83b5,skill/competence,transversal,ethische gedragscode volgen,,"Werkplekactiviteiten uitvoeren volgens aanvaarde principes van goed en kwaad, waaronder eerlijkheid, transparantie en onpartijdigheid in werkmethoden en gedrag ten opzichte van andere mensen.",http://data.europa.eu/esco/skill/25a26ff6-af18-40b0-b2e2-cb58471015eb | http://data.europa.eu/esco/skill/A2.3.0,waarden | ethische gedragscode volgen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b769f524-0f25-44d7-8538-5c46710a040e,skill/competence,transversal,digitale documenten beheren,,"Verschillende gegevensindelingen en -bestanden beheren door bestanden en documenten een naam te geven, te publiceren, te veranderen en te delen en bestandsindelingen te veranderen.",http://data.europa.eu/esco/skill/S5.5.2 | http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"beheren en analyseren van digitale gegevens | gegevens, informatie en digitale inhoud beheren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bb2b4485-2bad-402f-8517-44bf7d9afff4,skill/competence,transversal,antivirussoftware installeren,antivirussoftware implementeren | antivirusprogramma implementeren | antivirusprogramma installeren,"Software downloaden, installeren en updaten om schadelijke software, zoals computervirussen, te voorkomen, te detecteren en te verwijderen.",http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e | http://data.europa.eu/esco/skill/S5.2.2,ICT-toestellen beschermen | beschermen van ict-apparaten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,transversal,digitale identiteiten beheren,de eigen digitale identiteit beheren en beschermen | de eigen digitale identiteit beheren,"Eén of meerdere digitale identiteiten creëren en beheren, in staat zijn de eigen reputatie te beschermen, kunnen omgaan met de gegevens die men via verschillende digitale tools, omgevingen en diensten produceert.",http://data.europa.eu/esco/skill/S3.3.5 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,waarborgen en handhaven van fysieke veiligheid | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,feiten rapporteren,verslag doen van feiten | verslag uitbrengen van feiten,Informatie doorgeven of gebeurtenissen mondeling vertellen.,http://data.europa.eu/esco/skill/S1.4.1 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,presenteren van algemene informatie | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,interculturele vaardigheden tonen,interculturele vaardigheden hebben,"Mensen begrijpen en respecteren die worden gezien als mensen met verschillende culturele affiniteiten, en effectief en respectvol op hen reageren.",http://data.europa.eu/esco/skill/A2.1.0 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,rekening houden met anderen | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,zelfstandig werken,onafhankelijk werken,"Een eigen manier van werken ontwikkelen, zichzelf motiveren met weinig of geen toezicht en op zichzelf vertrouwen om dingen gedaan te krijgen.",http://data.europa.eu/esco/skill/A1.16.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,zelfstandig werken | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2cbbccf-4ffd-4626-86e7-505b39c872a0,skill/competence,transversal,bescherming tegen ongewenste e-mail implementeren,bescherming tegen spam implementeren,Software installeren en configureren die e-mailgebruikers ondersteunt bij het filteren van berichten die malware bevatten of ongevraagd zijn.,http://data.europa.eu/esco/skill/S5.2.2 | http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,beschermen van ict-apparaten | ICT-toestellen beschermen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,skill/competence,transversal,de invloed van digitale technologieën op het milieu beperken,het milieu beschermen bij het gebruik van digitale technologieën,Bewust zijn van de milieueffecten van digitale technologieën en het gebruik ervan.,http://data.europa.eu/esco/skill/S3.3.2 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,naleven van wetten en normen op het gebied van milieubescherming | ICT-veiligheid
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,creatief denken,creatief nadenken,"Genereren van nieuwe ideeën of bestaande ideeën combineren om innovatieve, nieuwe oplossingen te ontwikkelen.",http://data.europa.eu/esco/skill/S1.0.0 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,"communicatie, samenwerking en creativiteit | denken"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,skill/competence,transversal,gezondheid en welzijn beschermen bij het gebruik van digitale technologieën,gezondheid en welzijn bewaken bij het gebruik van digitale technologieën | verantwoord gebruikmaken van digitale technologieën,Gezondheidsrisico's en bedreigingen voor het fysieke en psychische welzijn kunnen vermijden door gebruik te maken van digitale technologieën. Zichzelf en anderen kunnen beschermen tegen mogelijke gevaren in digitale omgevingen (bijvoorbeeld cyberpesten). Bewust zijn van digitale technologieën voor sociaal welzijn en sociale integratie.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/S3.3.1,ICT-veiligheid | naleven van gezondheids- en veiligheidsprocedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,skill/competence,transversal,veiligheidsmaatregelen bij werkpraktijken in acht nemen,voorzorgsmaatregelen bij werkpraktijken in acht nemen,"Principes, beleid en institutionele regelgeving toepassen die gericht zijn op het garanderen van een veilige werkplek voor alle medewerkers.",http://data.europa.eu/esco/skill/6e1ac650-52a8-40b8-b1fc-fc5e582882f3 | http://data.europa.eu/esco/skill/S3.3.1,gezondheid en veiligheid | naleven van gezondheids- en veiligheidsprocedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,skill/competence,transversal,beslissingen nemen,besluiten nemen,Een keuze maken uit verschillende alternatieve mogelijkheden.,http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5 | http://data.europa.eu/esco/skill/S4.9.0,denken | nemen van beslissingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,skill/competence,transversal,tijd beheren,,"De volgorde van evenementen, programma’s en activiteiten, alsook het werk van anderen plannen.",http://data.europa.eu/esco/skill/S4.2.2 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,organiseren en plannen van evenementen en activiteiten | denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d908a818-70ef-419e-9d60-8f459114cb2f,skill/competence,transversal,e-diensten gebruiken,elektronische diensten gebruiken,"Openbare en particuliere onlinediensten, zoals e-handel, e-governance, e-bankieren, e-gezondheidsdiensten gebruiken.",http://data.europa.eu/esco/skill/S5.0.0 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,werken met computers | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db77825e-0f3e-47d0-abdb-356794484272,skill/competence,transversal,wiskundige hulpmiddelen en uitrusting gebruiken,mathematische hulpmiddelen en uitrusting gebruiken,Een draagbaar elektronisch apparaat gebruiken om zowel eenvoudige als complexe rekenkundige bewerkingen uit te voeren.,http://data.europa.eu/esco/skill/b99e9027-8263-4630-a8f2-d7f400b4149e | http://data.europa.eu/esco/skill/S2.6.1,rekenvaardigheid/wiskunde | uitvoeren van berekeningen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,skill/competence,transversal,ICT-toestellen beschermen,,"Apparaten en digitale inhoud beschermen en de risico's en bedreigingen in verband met digitale omgevingen begrijpen. Kennis hebben van veiligheids- en beveiligingsmaatregelen en de nodige aandacht besteden aan betrouwbaarheid en privacy. Gebruik maken van tools en methoden die de beveiliging van ICT-apparaten en informatie maximaliseren via toegangscontroles zoals wachtwoorden, digitale handtekeningen en biometrie en via beveiligingssystemen zoals firewalls, antivirussoftware en spamfilters.",http://data.europa.eu/esco/skill/S5.2.2 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,beschermen van ict-apparaten | ICT-veiligheid
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,skill/competence,transversal,anderen aanmoedigen,anderen motiveren,Het gedrag van andere mensen sturen door hen een overtuigende reden te geven om actie te ondernemen.,http://data.europa.eu/esco/skill/S4.5.0 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,leiden en motiveren | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,skill/competence,transversal,"gegevens, informatie en digitale inhoud verkennen, zoeken en filteren","in gegevens, informatie en digitale content browsen, zoeken en filteren | gegevens, informatie en digitale content verkennen, zoeken en filteren | in gegevens, informatie en digitale inhoud browsen, zoeken en filteren","Behoeften aan informatie te kennen geven, zoeken naar gegevens, informatie en inhoud in digitale omgevingen, deze raadplegen en ertussen navigeren. Persoonlijke zoekstrategieën creëren en actualiseren.",http://data.europa.eu/esco/skill/S5.5.1 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,doorzoeken en filteren van digitale gegevens | verwerking van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5b5053e-0ef6-4c4e-a3f2-42f955f4322c,skill/competence,transversal,firewall installeren,firewall implementeren,"Een netwerkbeveiligingssysteem downloaden, installeren en updaten dat is bedoeld om ongeautoriseerde toegang tot een particulier netwerk te voorkomen.",http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e | http://data.europa.eu/esco/skill/S5.2.2,ICT-toestellen beschermen | beschermen van ict-apparaten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e7844840-0fc2-4e79-a0f7-384b4dbc88f6,skill/competence,transversal,Swoogle gebruiken,,"Digitale informatie identificeren via de Swoogle-zoekmachine, een zoekmachine voor semantische webontologieën. 
 ",http://data.europa.eu/esco/skill/S5.5.1 | http://data.europa.eu/esco/skill/698be2d3-8768-422d-a2d3-1cb701816089,doorzoeken en filteren van digitale gegevens | online informatie opzoeken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec4b8a2b-c20c-4c0f-bef0-fcc1f5f42c40,skill/competence,transversal,ICT-randapparatuur gebruiken,computerrandapparatuur gebruiken,"De fysieke onderdelen of componenten van apparatuur voor informatietechnologie gebruiken, zoals monitor, muis, toetsenbord, opslagapparaten, printers of scanners.",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/S5.0.0,probleemoplossing met ICT-instrumenten en hardware | werken met computers
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f60b0a50-2e7b-46f8-9b9c-2809b10991f9,skill/competence,transversal,doorzetten,doorbijten,"Zich vasthouden aan de taken, ondanks vermoeidheid of frustratie.",http://data.europa.eu/esco/skill/A1.14.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,doorzetten | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,skill/competence,transversal,informatie opslaan,informatie van buiten leren | informatie memoriseren | informatie onthouden,"Informatie opslaan zoals woorden, nummers, foto's en procedures om later op te vragen.",http://data.europa.eu/esco/skill/S2.4.0 | http://data.europa.eu/esco/skill/a06a5a3f-07a9-40b3-bb7b-d93a960b1be5,verwerken van informatie | denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fba28975-4544-4d37-8971-9bd72534018c,skill/competence,transversal,aandacht hebben voor hygiëne,hygiënisch werken,"Persoonlijke verantwoordelijkheid nemen om een veilige werkomgeving, inclusief persoonlijke hygiëne, te garanderen.",http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5 | http://data.europa.eu/esco/skill/A1.3.0,standpunten | aandacht hebben voor hygiëne
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fdf15b35-9028-4acb-bfd2-43f00a015cd9,skill/competence,transversal,persoonlijke organisatiesoftware gebruiken,persoonlijke planningssoftware gebruiken,"Gebruiken van softwaretools, zoals agenda's, takenlijsten, tijdregistratie, contactpersonenlijsten, om de persoonlijke efficiëntie te helpen beheren.",http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0 | http://data.europa.eu/esco/skill/S5.6.1,behoeften identificeren en relevante technologische oplossingen aandragen | gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit
